 Save ,Lưu,
 days,ngày,
 meetings,cuộc họp,
 out of ,ra khỏi,
",!0),l.name===""email""&&!i.value?(o(),m(d(U),{key:3,message:""Email is Required"",class:""pt-2""})):_(",",!0),l.name===""email""&&!i.value?(o(),m(d(U),{key:3,message:""Email là bắt buộc"",class:""pt-2""})):_(",
",!0),t.key===""cta""&&r.status===""Paid""?(o(),m(e,{key:1,onClick:u=>f(r),class:""hover:bg-gray-900 hover:text-white"",""icon-left"":""download"",label:""Download Invoice""},null,8,[""onClick""])):_(",",!0),t.key===""cta""&&r.status===""Paid""?(o(),m(e,{key:1,onClick:u=>f(r),class:""hover:bg-gray-900 hover:text-white"",""icon-left"":""download"",label:""Tải xuống hóa đơn""},null,8,[""onClick""])):_(",
",!0)]),_:2},1032,[""item"",""align""])]),_:2},1032,[""row""]))),128))]),_:1},8,[""columns"",""rows""])):_(",",!0)]),_:2},1032,[""item"",""align""])]),_:2},1032,[""row""]))),128))]),_:1},8,[""columns"",""rows""])):_(",
...Adding Article to Topics,... Thêm bài viết vào chủ đề,
...Adding Course to Programs,... Thêm khóa học vào chương trình,
...Adding Quiz to Topics,... Thêm câu đố vào chủ đề,
...Adding Topic to Courses,... Thêm chủ đề vào khóa học,
A question must have more than one options,Một câu hỏi phải có nhiều hơn một lựa chọn,
A qustion must have at least one correct options,Một đốt phải có ít nhất một lựa chọn đúng,
A+,A+,
A-,A-,
AB+,AB+,
AB-,AB-,
About,Giới thiệu,
Absent,Vắng mặt,
Absent Student Report,Báo cáo Sinh viên vắng mặt,
Academic,học tập,
Academic Term,Thời hạn học tập,
Academic Term {0} does not belong to Academic Year {1},Học kỳ {0} không thuộc Năm học {1},
Academic Term: ,Học thuật:,
Academic Year,Năm học,
Academic Year Name,Tên Năm học,
Academic Year: ,Năm học:,
Academics User,Người dùng Học thuật,
Accounting,Kế toán,
Accounting Defaults,Mặc định Kế toán,
Accounting Defaults are not set in row {0} for component {1} ,Không thiết lập Mặc định Kế toán trong hàng {0} cho thành phần {1},
Accounting Dimensions,Khía cạnh Kế toán,
Accounting Ledger,Sổ cái Kế toán,
Accounts,Các tài khoản,
Accounts Manager,Người quản lý Kế toán,
Accounts User,Người dùng Tài khoản,
Achievement,Thành tích,
Action,Hành động,
Actions,Các hành động,
Active,Đang hoạt động,
Activity,Hoạt động,
Activity Date,Ngày hoạt động,
Add,Thêm,
Add Article to Topics,Thêm bài viết vào chủ đề,
Add Course to Programs,Thêm khóa học vào chương trình,
Add Guardians to Email Group,Thêm người giám hộ vào nhóm email,
Add Quiz to Topics,Thêm câu đố vào chủ đề,
Add Topic to Courses,Thêm chủ đề vào khóa học,
Add letterhead,Thêm Đầu giấy,
Add to Courses,Thêm vào khóa học,
Add to Programs,Thêm vào chương trình,
Add to Topics,Thêm vào chủ đề,
Address,Địa chỉ,
Address Line 1,Dòng địa chỉ 1,
Address Line 2,Dòng địa chỉ 2,
Administrator,Người quản trị,
Admission End Date,Nhập học ngày End,
Admission End Date should be greater than Admission Start Date.,Ngày kết thúc nhập học phải lớn hơn Ngày bắt đầu nhập học.,
Admission Start Date,Ngày bắt đầu nhập học,
Admissions for {0},Tuyển sinh cho {0},
Admitted,Thừa nhận,
Against Invoice,Đối ứng với Hóa đơn,
All Student Admissions,Tất cả Tuyển sinh Sinh viên,
Alternate Number,Số thay thế,
Amended From,Được Sửa Đổi Từ,
Amount,Số Tiền,
An academic term with this 'Academic Year' {0} and 'Term Name' {1} already exists. Please modify these entries and try again.,Một học kỳ với điều này &quot;Academic Year &#39;{0} và&#39; Tên hạn &#39;{1} đã tồn tại. Hãy thay đổi những mục này và thử lại.,
Application Date,Ngày nộp hồ sơ,
Application Fee,Phí đăng ký,
Application Status,Trạng thái ứng tuyển,
Applied,Ứng dụng,
Apply Now,Ứng tuyển ngay,
Approve,Tán thành,
Approved,Đã được phê duyệt,
Apps,Ứng dụng,
Article,Bài báo,
